"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"	"Frequency [Hz]"	"Sound Pessure Level [dB]   /  [ 	0.2	V at 	1	m]"
2,070.56	76.8695	2,070.56	68.863	2,070.56	81.5868	2,070.56	76.5269	2,070.56	69.7729	2,070.56	78.04
2,143.8	76.1358	2,143.8	70.5306	2,143.8	81.6362	2,143.8	76.3799	2,143.8	69.8013	2,143.8	78.0002
2,219.24	76.0701	2,219.24	73.3663	2,219.24	81.2199	2,219.24	75.9344	2,219.24	69.0653	2,219.24	77.6967
2,297.61	76.3434	2,297.61	73.3447	2,297.61	82.0056	2,297.61	76.5535	2,297.61	70.1506	2,297.61	78.3744
2,378.17	76.5402	2,378.17	74.5861	2,378.17	82.3897	2,378.17	77.131	2,378.17	69.9314	2,378.17	78.8194
2,462.4	76.9841	2,462.4	75.6663	2,462.4	81.892	2,462.4	76.3251	2,462.4	69.456	2,462.4	78.3984
2,548.83	76.8696	2,548.83	75.9853	2,548.83	81.4086	2,548.83	75.7967	2,548.83	69.0838	2,548.83	77.9916
2,638.92	76.8293	2,638.92	76.0345	2,638.92	80.7822	2,638.92	75.3106	2,638.92	68.4802	2,638.92	77.5054
2,731.93	77.223	2,731.93	75.9421	2,731.93	80.2283	2,731.93	74.7261	2,731.93	67.9546	2,731.93	77.0873
2,828.61	77.9425	2,828.61	75.0536	2,828.61	80.4306	2,828.61	74.6976	2,828.61	67.9318	2,828.61	77.2156
2,928.22	78.6834	2,928.22	74.7735	2,928.22	80.5161	2,928.22	74.8848	2,928.22	68.238	2,928.22	77.3972
3,031.49	79.3353	3,031.49	74.5153	3,031.49	80.0116	3,031.49	74.4988	3,031.49	68.3286	3,031.49	77.1418
3,138.43	79.7889	3,138.43	74.926	3,138.43	80.1967	3,138.43	74.836	3,138.43	67.9877	3,138.43	77.4184
3,249.02	79.7376	3,249.02	75.935	3,249.02	79.9673	3,249.02	75.1055	3,249.02	68.5279	3,249.02	77.4345
3,363.28	79.7883	3,363.28	77.0174	3,363.28	79.3353	3,363.28	75.1378	3,363.28	68.0718	3,363.28	77.2585
3,481.93	79.8368	3,481.93	77.5752	3,481.93	80.0251	3,481.93	76.0746	3,481.93	68.7838	3,481.93	77.8706
3,604.98	79.8265	3,604.98	77.7778	3,604.98	80.3718	3,604.98	76.5833	3,604.98	69.0119	3,604.98	78.18
3,732.42	79.7344	3,732.42	77.6813	3,732.42	80.868	3,732.42	76.7184	3,732.42	68.4918	3,732.42	78.4124
3,863.53	79.4747	3,863.53	77.3875	3,863.53	81.523	3,863.53	76.8655	3,863.53	67.5877	3,863.53	78.6999
3,999.76	79.4615	3,999.76	77.0251	3,999.76	81.5722	3,999.76	76.6268	3,999.76	67.6734	3,999.76	78.6357
4,141.11	78.7714	4,141.11	76.6258	4,141.11	81.4565	4,141.11	76.2908	4,141.11	66.891	4,141.11	78.3625
4,286.87	78.6923	4,286.87	76.2888	4,286.87	81.4513	4,286.87	76.2374	4,286.87	67.285	4,286.87	78.3151
4,438.48	78.4448	4,438.48	75.0209	4,438.48	81.0903	4,438.48	76.0435	4,438.48	66.8716	4,438.48	77.9495
4,594.48	77.643	4,594.48	74.4483	4,594.48	81.0518	4,594.48	75.641	4,594.48	66.6336	4,594.48	77.6974
4,757.08	78.1113	4,757.08	74.3232	4,757.08	80.8367	4,757.08	75.627	4,757.08	66.7691	4,757.08	77.6219
4,924.8	77.9629	4,924.8	74.8132	4,924.8	80.7101	4,924.8	75.3077	4,924.8	65.8787	4,924.8	77.4758
5,098.39	77.8306	5,098.39	74.7137	5,098.39	80.398	5,098.39	75.4197	5,098.39	66.7215	5,098.39	77.313
5,277.83	78.2012	5,277.83	74.2596	5,277.83	80.2589	5,277.83	75.6257	5,277.83	66.4745	5,277.83	77.311
5,463.87	78.3848	5,463.87	73.7428	5,463.87	81.3871	5,463.87	76.4393	5,463.87	67.583	5,463.87	78.152
5,656.49	78.236	5,656.49	74.6247	5,656.49	81.5264	5,656.49	76.9498	5,656.49	67.7087	5,656.49	78.3905
5,856.45	78.4373	5,856.45	75.5564	5,856.45	81.6624	5,856.45	77.3093	5,856.45	67.7672	5,856.45	78.6372
6,062.99	78.7745	6,062.99	75.8822	6,062.99	81.6704	6,062.99	77.0208	6,062.99	66.8725	6,062.99	78.6126
6,276.86	78.7358	6,276.86	75.3102	6,276.86	81.9399	6,276.86	77.1548	6,276.86	66.2204	6,276.86	78.7556
6,498.05	78.8098	6,498.05	74.9489	6,498.05	81.9477	6,498.05	77.44	6,498.05	66.2309	6,498.05	78.8284
6,727.29	79.3336	6,727.29	75.5902	6,727.29	82.0426	6,727.29	77.6722	6,727.29	66.8886	6,727.29	79.0436
6,964.6	79.8856	6,964.6	76.3707	6,964.6	82.0531	6,964.6	77.883	6,964.6	67.8356	6,964.6	79.2304
7,209.96	80.2085	7,209.96	76.2436	7,209.96	81.7943	7,209.96	77.8292	7,209.96	67.7296	7,209.96	79.121
7,464.11	80.2942	7,464.11	75.7792	7,464.11	81.3772	7,464.11	77.3657	7,464.11	67.1514	7,464.11	78.7651
7,727.78	79.8792	7,727.78	75.6301	7,727.78	80.8565	7,727.78	76.9892	7,727.78	66.8914	7,727.78	78.3267
8,000.24	79.4591	8,000.24	75.1537	8,000.24	80.8591	8,000.24	76.799	8,000.24	65.9625	8,000.24	78.1717
8,282.23	79.0402	8,282.23	74.2124	8,282.23	80.9424	8,282.23	76.7722	8,282.23	65.8421	8,282.23	78.094
8,574.46	79.315	8,574.46	73.6544	8,574.46	80.7232	8,574.46	77.211	8,574.46	66.159	8,574.46	78.1321
8,876.22	79.2229	8,876.22	73.5709	8,876.22	80.5791	8,876.22	77.0428	8,876.22	65.9011	8,876.22	77.9902
9,189.7	78.6129	9,189.7	73.2994	9,189.7	79.6894	9,189.7	76.0622	9,189.7	65.1156	9,189.7	77.1452
9,513.43	77.6028	9,513.43	73.1921	9,513.43	78.7924	9,513.43	75.0021	9,513.43	63.9896	9,513.43	76.2217
9,848.88	76.3663	9,848.88	72.8198	9,848.88	78.2385	9,848.88	74.2228	9,848.88	62.6821	9,848.88	75.5067
10,196.8	75.4668	10,196.8	71.7486	10,196.8	77.9499	10,196.8	74.1202	10,196.8	61.9829	10,196.8	75.1449
10,556.4	76.0821	10,556.4	71.7637	10,556.4	79.075	10,556.4	75.3689	10,556.4	63.4398	10,556.4	76.1979
10,928.5	77.0588	10,928.5	72.1389	10,928.5	80.1602	10,928.5	76.3093	10,928.5	64.3203	10,928.5	77.1966
11,313.7	77.4783	11,313.7	72.4275	11,313.7	80.1382	11,313.7	76.3614	11,313.7	64.9761	11,313.7	77.2649
11,712.9	77.8327	11,712.9	72.8154	11,712.9	80.1971	11,712.9	76.4273	11,712.9	65.083	11,712.9	77.376
12,126	77.8525	12,126	72.72	12,126	80.331	12,126	76.4562	12,126	64.9882	12,126	77.4525
12,553.7	77.8587	12,553.7	72.7677	12,553.7	80.3631	12,553.7	76.5616	12,553.7	65.1366	12,553.7	77.5053
12,996.1	77.6066	12,996.1	71.9006	12,996.1	79.9309	12,996.1	76.2506	12,996.1	64.7582	12,996.1	77.1182
13,454.6	77.257	13,454.6	71.7907	13,454.6	79.2907	13,454.6	75.6299	13,454.6	64.1252	13,454.6	76.5421
13,928.5	77.9605	13,928.5	71.7612	13,928.5	79.799	13,928.5	75.5797	13,928.5	63.6947	13,928.5	76.886
14,419.9	75.0017	14,419.9	71.701	14,419.9	78.4109	14,419.9	74.0133	14,419.9	61.725	14,419.9	75.3011
14,928.2	73.8671	14,928.2	71.5004	14,928.2	78.1217	14,928.2	73.3655	14,928.2	61.0466	14,928.2	74.8296
15,454.8	74.1482	15,454.8	69.6443	15,454.8	77.1882	15,454.8	72.1425	15,454.8	59.0587	15,454.8	73.8997
15,999.8	75.1001	15,999.8	68.2962	15,999.8	77.1491	15,999.8	72.1583	15,999.8	58.9186	15,999.8	73.9603
16,564.5	77.2032	16,564.5	71.1207	16,564.5	79.8227	16,564.5	74.4019	16,564.5	60.8865	16,564.5	76.4482
17,148.2	78.5447	17,148.2	71.4299	17,148.2	80.9132	17,148.2	75.118	17,148.2	61.4204	17,148.2	77.4615
17,753.2	78.7819	17,753.2	70.9167	17,753.2	81.0888	17,753.2	74.6769	17,753.2	60.0127	17,753.2	77.4929
18,379.4	76.8908	18,379.4	69.7665	18,379.4	79.5408	18,379.4	72.7974	18,379.4	57.3324	18,379.4	75.8367
