"Early Reflections"											
"Floor Bounce"		"Ceiling Bounce"		"Front Wall Bounce"		"Side Wall Bounce"		"Rear Wall Bounce"		"Total Early Reflection"	
"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "	"Frequency [Hz]"	"Sound Pessure Level [dB]  / [2.83V 1m] "
10,556.4	80.9612	10,556.4	75.1008	10,556.4	83.7374	10,556.4	75.8178	10,556.4	66.6311	10,556.4	79.868
10,928.5	80.5887	10,928.5	74.3192	10,928.5	83.4695	10,928.5	76.2374	10,928.5	66.4708	10,928.5	79.6787
11,313.7	80.184	11,313.7	73.5756	11,313.7	82.7208	11,313.7	76.4298	11,313.7	67.7499	11,313.7	79.1715
11,712.9	79.4056	11,712.9	73.2587	11,712.9	81.7723	11,712.9	75.8465	11,712.9	66.4457	11,712.9	78.3433
12,126	78.8222	12,126	73.6763	12,126	81.6643	12,126	75.1921	12,126	64.0713	12,126	78.0612
12,553.7	78.9546	12,553.7	74.6025	12,553.7	82.3346	12,553.7	75.0031	12,553.7	62.2826	12,553.7	78.5036
12,996.1	79.6668	12,996.1	75.3326	12,996.1	82.5408	12,996.1	74.4054	12,996.1	61.3926	12,996.1	78.6758
13,454.6	79.9339	13,454.6	75.4363	13,454.6	82.1464	13,454.6	73.1066	13,454.6	58.1439	13,454.6	78.2912
13,928.5	80.0483	13,928.5	74.8399	13,928.5	81.2558	13,928.5	71.9057	13,928.5	60.151	13,928.5	77.5754
14,419.9	79.7871	14,419.9	74.3338	14,419.9	80.6272	14,419.9	71.8705	14,419.9	61.915	14,419.9	77.1027
14,928.2	80.0957	14,928.2	74.8786	14,928.2	81.127	14,928.2	71.3651	14,928.2	61.9336	14,928.2	77.4578
15,454.8	80.5291	15,454.8	74.7569	15,454.8	81.3119	15,454.8	70.2419	15,454.8	61.4947	15,454.8	77.5687
15,999.8	80.0306	15,999.8	73.5795	15,999.8	80.5941	15,999.8	70.9283	15,999.8	63.0775	15,999.8	76.9999
16,564.5	81.0765	16,564.5	73.6098	16,564.5	82.2755	16,564.5	71.4744	16,564.5	61.8679	16,564.5	78.3554
17,148.2	80.8831	17,148.2	72.768	17,148.2	83.3559	17,148.2	70.5528	17,148.2	60.7053	17,148.2	78.9836
17,753.2	80.203	17,753.2	70.5117	17,753.2	84.2664	17,753.2	69.4733	17,753.2	59.1202	17,753.2	79.4839
18,379.4	79.5707	18,379.4	68.4401	18,379.4	83.8602	18,379.4	66.9899	18,379.4	57.2315	18,379.4	78.9612
19,027.6	78.2012	19,027.6	66.2767	19,027.6	82.4933	19,027.6	63.3901	19,027.6	56.6954	19,027.6	77.5443
19,698.5	76.3419	19,698.5	63.2889	19,698.5	82.8054	19,698.5	62.6455	19,698.5	57.5445	19,698.5	77.5856
19,999.5	75.4608	19,999.5	61.0364	19,999.5	83.0089	19,999.5	62.5073	19,999.5	57.5667	19,999.5	77.6926
